Loading HF Config...
Loading HF model with dtype=torch.bfloat16...
n_params=6738415616
Placing model on device='cuda:0'...

Loading HF tokenizer...
NOT using autocast...

Generate seed:
42

Generate kwargs:
{'max_new_tokens': 10, 'temperature': 0.0, 'top_p': 1.0, 'top_k': 50, 'repetition_penalty': 1.0, 'no_repeat_ngram_size': 0, 'use_cache': True, 'do_sample': False, 'eos_token_id': 2, 'pad_token_id': 2}

Tokenizing prompts...
Warming up...
Generating responses...
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 757+50=[0m807; 123+1
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 75+851=[0m836; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 223+453=[0m676; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 474+669=[0m1143; 100+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 176+815=[0m991; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 796+706=[0m1502; 102+
####################################################################################################
bs=64, input_tokens=array([156, 156, 154, 156, 154, 156, 155, 156, 156, 156, 154, 156, 156,
       156, 156, 156, 156, 156, 156, 156, 156, 156, 156, 155, 156, 156,
       156, 156, 156, 156, 156, 156, 156, 156, 156, 155, 156, 156, 156,
       156, 156, 156, 156, 155, 156, 156, 155, 156, 156, 155, 156, 156,
       156, 155, 156, 156, 156, 156, 156, 155, 156, 156, 156, 156]), output_tokens=array([10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10,
       10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10,
       10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10,
       10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10])
total_input_tokens=9970, total_output_tokens=640
encode_latency=4.26ms, gen_latency=1206.85ms, decode_latency=4.99ms, total_latency=1216.10ms
latency_per_output_token=1.90ms/tok
output_tok_per_sec=526.27tok/sec

Tokenizing prompts...
Generating responses...
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 586+348=[0m934; 100+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 106+487=[0m593; 123+2
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 743+833=[0m1576; 123+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 703+388=[0m1091; 102+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 814+119=[0m933; 102+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 216+932=[0m1148; 102+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 622+971=[0m1593; 123+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 167+640=[0m807; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 793+720=[0m1513; 1000
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 788+609=[0m1397; 100+
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 131+77=[0m208; 102+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 112+279=[0m391; 101+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 164+854=[0m918; 123+1
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 844+600=[0m1444; 1000
####################################################################################################
[92mHere are some examples of addition problems separated by a semicolon: 476+489=965; 403+214=617; 909+258=1167; 459+834=1293; 577+136=713; 353+179=532; 437+464=901; 936+797=1733; 144+62=206; 517+335=852; 224+943=[0m1167; 100+
